Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Status
dominant-kad-n-camas-r-pamuklu-renkli-brazilian-kulot-7-li-paket-s-m-l,Dominant Kadın Çamaşır Pamuklu Renkli BRAZİLİAN Külot 7'li Paket (S-M-L),"<p><a href=""https://www.trendyol.com/dominant/kadin-camasir-pamuklu-renkli-brazilian-kulot-7-li-paket-s-m-l-p-635181451?boutiqueId=61&merchantId=4341&filterOverPriceListings=false&sav=true"" rel=""nofollow"">Trendyol kaynak</a></p>
<p>Kaynak ID: 635181451</p>",Dominant,Apparel & Accessories > Clothing > Underwear & Socks > Underwear,Kadın Brazilian Külot,"trendyol-import, Kadın, Külot, Brazilian, dominant",true,Beden,S,,,,,,,,635181451-2,0.0,shopify,100,deny,manual,437.00,,true,true,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1914/prod/QC_ENRICHMENT/20260617/14/455c943a-6ea2-3d5a-b7ed-fc198f213d07/1_org_zoom.jpg,1,Dominant Kadın Çamaşır Pamuklu Renkli BRAZİLİAN Külot 7'li Paket (S-M-L),false,Dominant Kadın Çamaşır Pamuklu Renkli BRAZİLİAN Külot 7'li Paket (S-M-L),,,,,kg,,,,,,active
dominant-kad-n-camas-r-pamuklu-renkli-brazilian-kulot-7-li-paket-s-m-l,,,,,,,,Beden,M,,,,,,,,635181451-3,0.0,shopify,100,deny,manual,437.00,,true,true,,,,,,,,,false,,,,,,kg,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-brazilian-kulot-7-li-paket-s-m-l,,,,,,,,Beden,L,,,,,,,,635181451-4,0.0,shopify,100,deny,manual,437.00,,true,true,,,,,,,,,false,,,,,,kg,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-brazilian-kulot-7-li-paket-s-m-l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1901/prod/QC_ENRICHMENT/20260617/14/67ab24e7-ca49-3fd5-8a3e-a98bb762f359/1_org_zoom.jpg,2,Dominant Kadın Çamaşır Pamuklu Renkli BRAZİLİAN Külot 7'li Paket (S-M-L),,,,,,,,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-brazilian-kulot-7-li-paket-s-m-l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/128/192/ty1914/prod/QC_ENRICHMENT/20260617/14/455c943a-6ea2-3d5a-b7ed-fc198f213d07/1_org_zoom.jpg,3,Dominant Kadın Çamaşır Pamuklu Renkli BRAZİLİAN Külot 7'li Paket (S-M-L),,,,,,,,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-brazilian-kulot-7-li-paket-s-m-l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/128/192/ty1892/prod/QC_ENRICHMENT/20260617/14/fdd4bf55-2b60-3684-b753-02aeee010475/1_org_zoom.jpg,4,Dominant Kadın Çamaşır Pamuklu Renkli BRAZİLİAN Külot 7'li Paket (S-M-L),,,,,,,,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-brazilian-kulot-7-li-paket-s-m-l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/128/192/ty1920/prod/QC_ENRICHMENT/20260617/14/60c1eae9-3d60-3a89-9575-4743e9720d0b/1_org_zoom.jpg,5,Dominant Kadın Çamaşır Pamuklu Renkli BRAZİLİAN Külot 7'li Paket (S-M-L),,,,,,,,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-brazilian-kulot-7-li-paket-s-m-l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/128/192/ty1929/prod/QC_ENRICHMENT/20260618/11/d68b8b30-5973-3de1-8694-d60ef6a6ad13/1_org_zoom.jpg,6,Dominant Kadın Çamaşır Pamuklu Renkli BRAZİLİAN Külot 7'li Paket (S-M-L),,,,,,,,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-brazilian-kulot-7-li-paket-s-m-l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/128/192/ty1909/prod/QC_PREP/20260601/23/51c3e9ea-c267-3906-b1ac-1bd8fea1f920/1_org_zoom.jpg,7,Dominant Kadın Çamaşır Pamuklu Renkli BRAZİLİAN Külot 7'li Paket (S-M-L),,,,,,,,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-bikini-kulot-7-li-paket,Dominant Kadın Çamaşır Pamuklu Renkli BİKİNİ Külot 7'li Paket,"<p><a href=""https://www.trendyol.com/dominant/kadin-camasir-pamuklu-renkli-bikini-kulot-7-li-paket-p-834793121?boutiqueId=61&merchantId=4341&filterOverPriceListings=false&sav=true"" rel=""nofollow"">Trendyol kaynak</a></p>
<p>Kaynak ID: 834793121</p>",Dominant,Apparel & Accessories > Clothing > Underwear & Socks > Underwear,Kadın Bikini Külot,"trendyol-import, Kadın, Külot, Bikini, dominant",true,Beden,S,,,,,,,,834793121-2,0.0,shopify,100,deny,manual,302.00,,true,true,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1931/prod/QC_ENRICHMENT/20260618/11/61199ec7-77b5-392a-bbdb-15242f0db144/1_org_zoom.jpg,1,Dominant Kadın Çamaşır Pamuklu Renkli BİKİNİ Külot 7'li Paket,false,Dominant Kadın Çamaşır Pamuklu Renkli BİKİNİ Külot 7'li Paket,,,,,kg,,,,,,active
